,Sample1,Sample2,Sample3,Sample4,Sample5
Model1,0.6178756476683938,0.944300518134715,0.6373056994818653,0.6347150259067358,0.11269430051813471
Model2,0.6865284974093264,0.9961139896373057,0.655440414507772,0.4805699481865285,0.49093264248704666
Model3,0.5971502590673575,0.9766839378238342,0.5518134715025906,0.3018134715025907,0.38860103626943004
Model4,0.5544041450777202,0.9883419689119171,0.6852331606217616,0.011658031088082901,0.32124352331606215
Model5,0.4637305699481865,0.9313471502590673,0.6424870466321243,0.44041450777202074,0.40803108808290156
